lang,co,link,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,sum,tot
tr,Cyprus,https://tr.wikipedia.org/wiki/K%C4%B1br%C4%B1s_Cumhuriyeti, 0,  0, 19, 36, 42, 1,  91, 57, 15, 1, 0, 262, 85460
uk,Cyprus,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D0%BF%D1%80, 0,  0,  1, 13,  4, 0,  21, 16, 20, 0, 0,  75, 43224
ur,Cyprus,https://ur.wikipedia.org/wiki/%D9%82%D8%A8%D8%B1%D8%B5, 0,  1,  2, 15, 25, 0,  21, 16,  6, 6, 0,  92, 18305
uz,Cyprus,https://uz.wikipedia.org/wiki/Kipr_Respublikasi, 0,  0,  1, 19, 17, 0,  24, 23,  6, 2, 0,  92, 22271
vi,Cyprus,https://vi.wikipedia.org/wiki/C%E1%BB%99ng_h%C3%B2a_S%C3%ADp, 3,  0, 35,204, 45, 0,  53,153, 27, 2, 0, 522, 80198
cy,Cyprus,https://cy.wikipedia.org/wiki/Cyprus, 0,  0,  0,  2,  2, 0,   5,  5,  1, 0, 0,  15,  8424
yi,Cyprus,https://yi.wikipedia.org/wiki/%D7%A6%D7%99%D7%A4%D7%A2%D7%A8%D7%9F, 0,  0,  0,  2,  1, 0,   1,  4,  1, 0, 0,   9,  7883
yo,Cyprus,https://yo.wikipedia.org/wiki/K%C3%ADpr%C3%B9, 0,  0,  3, 15,  9, 0,   3, 19,  4, 0, 0,  53,  8771
af,Czech Republic,https://af.wikipedia.org/wiki/Tsjeggi%C3%AB, 0,  0,  0, 10, 14, 0,  33, 22, 16, 0, 0,  95, 25676
sq,Czech Republic,https://sq.wikipedia.org/wiki/Republika_%C3%87eke, 0,  0,  1, 49, 15, 0,  40, 56, 10, 0, 0, 171, 43151
am,Czech Republic,https://am.wikipedia.org/wiki/%E1%89%B8%E1%8A%AA%E1%8B%AB, 0,  0,  0,  1,  2, 0,   1, 11,  0, 0, 0,  15,  6360
ar,Czech Republic,https://ar.wikipedia.org/wiki/%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%AA%D8%B4%D9%8A%D9%83, 0,  0,  1, 14, 16, 0,  12, 60,  5, 4, 2, 114, 37850
hy,Czech Republic,https://hy.wikipedia.org/wiki/%D5%89%D5%A5%D5%AD%D5%AB%D5%A1, 0,  0,  0,  4,  5, 0,  11, 19, 10, 0, 0,  49, 20302
az,Czech Republic,https://az.wikipedia.org/wiki/%C3%87exiya, 0,  0,  2, 24, 10, 7,  28, 56, 17, 2, 0, 146, 29257
eu,Czech Republic,https://eu.wikipedia.org/wiki/Txekia, 0,  0,  4, 31, 35, 0,  21, 25,  5, 1, 0, 122, 35600
be,Czech Republic,https://be.wikipedia.org/wiki/%D0%A7%D1%8D%D1%85%D1%96%D1%8F, 0,  0,  2,  7,  1, 0,  14, 18, 10, 0, 0,  52, 29683
bn,Czech Republic,https://bn.wikipedia.org/wiki/%E0%A6%9A%E0%A7%87%E0%A6%95_%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0, 0,  0,  4, 26, 35, 3,  28, 32, 95, 0, 0, 223,118425
bs,Czech Republic,https://bs.wikipedia.org/wiki/%C4%8Ce%C5%A1ka, 0,  0,  0, 23,  6, 0,  18, 46, 13, 1, 0, 107, 42591
bg,Czech Republic,https://bg.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%B8%D1%8F, 0,  0,  6, 37, 35, 0, 100, 61,  5, 2, 0, 246, 66339
ca,Czech Republic,https://ca.wikipedia.org/wiki/Tx%C3%A8quia, 0,  0,  2, 16, 17, 0,  18, 29, 18, 2, 0, 102, 24223
ceb,Czech Republic,https://ceb.wikipedia.org/wiki/Nasod_nga_Czech, 0,  0,  0,  1,  0, 0,   0,  3,  0, 0, 0,   4,  5814
ny,Czech Republic,https://ny.wikipedia.org/wiki/Czech_Republic, 0,  0,  7, 13, 10, 0,  26, 23,  4, 1, 0,  84, 12975
zh,Czech Republic,https://zh.wikipedia.org/wiki/%E6%8D%B7%E5%85%8B, 0,  0, 10, 43, 27, 0, 155, 98,104, 4, 0, 441, 27769
zh-TW,Czech Republic,https://zh-classical.wikipedia.org/wiki/%E6%8D%B7%E5%85%8B, 0,  0,  0,  0,  0, 0,   0,  0,  0, 0, 0,   0,  4882
co,Czech Republic,https://co.wikipedia.org/wiki/Cecch%C3%ACa, 0,  0,  0,  1,  1, 0,   1,  4,  0, 0, 0,   7,  5860
hr,Czech Republic,https://hr.wikipedia.org/wiki/%C4%8Ce%C5%A1ka, 0,  0,  0,  9,  8, 0,  12, 23, 17, 1, 0,  70, 37192
cs,Czech Republic,https://cs.wikipedia.org/wiki/%C4%8Cesko, 2,  0, 18, 72, 45, 0,  85,155, 95,13, 2, 487,228010
da,Czech Republic,https://da.wikipedia.org/wiki/Tjekkiet, 0,  0,  2,  7,  8, 0,  14, 13,  3, 0, 0,  47, 21211
nl,Czech Republic,https://nl.wikipedia.org/wiki/Tsjechi%C3%AB, 0,  0,  7, 23, 18, 0,  17, 78, 11, 1, 0, 155, 50691
en,Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic, 0,  0, 16, 51, 54, 0, 106,112, 40,13, 0, 392,120915
eo,Czech Republic,https://eo.wikipedia.org/wiki/%C4%88e%C4%A5io, 0,  0,  0,  8,  5, 0,  10, 15, 13, 0, 0,  51, 27973
et,Czech Republic,https://et.wikipedia.org/wiki/T%C5%A1ehhi, 0,  0,  0,  2,  5, 0,   3,  2,  1, 0, 0,  13, 10978
tl,Czech Republic,https://tl.wikipedia.org/wiki/Republikang_Tseko, 0,  0,  0,  0,  1, 0,   8,  3,  0, 2, 0,  14, 11861
fi,Czech Republic,https://fi.wikipedia.org/wiki/T%C5%A1ekki, 0,  0,  0, 12,  4, 0,  13,  9, 12, 0, 0,  50, 39574
fr,Czech Republic,https://fr.wikipedia.org/wiki/Tch%C3%A9quie, 0,  0,  7, 26, 17, 0,  17, 37, 41, 1, 0, 146, 62362
fy,Czech Republic,https://fy.wikipedia.org/wiki/Tsjechje, 0,  0,  0,  2,  1, 0,   2, 35, 31, 0, 0,  71, 10619
gl,Czech Republic,https://gl.wikipedia.org/wiki/Rep%C3%BAblica_Checa, 0,  0, 41, 51, 47, 0,  50,119, 74, 0, 0, 382, 54231
ka,Czech Republic,https://ka.wikipedia.org/wiki/%E1%83%A9%E1%83%94%E1%83%AE%E1%83%94%E1%83%97%E1%83%98, 0,  0,  4, 13,  9, 0,  21, 19, 10, 5, 0,  81, 30153
de,Czech Republic,https://de.wikipedia.org/wiki/Tschechien, 0,  0, 21,123, 73, 0, 300,371, 76,12, 0, 976,115521
el,Czech Republic,https://el.wikipedia.org/wiki/%CE%A4%CF%83%CE%B5%CF%87%CE%AF%CE%B1, 0,  0,  1,  5,  4, 2,   9, 13,  6, 0, 0,  40, 26497
gu,Czech Republic,https://gu.wikipedia.org/wiki/%E0%AA%9D%E0%AB%87%E0%AA%95_%E0%AA%97%E0%AA%A3%E0%AA%B0%E0%AA%BE%E0%AA%9C%E0%AB%8D%E0%AA%AF, 0,  0,  0,  7, 14, 0,   2,  4,  0, 0, 0,  27, 11620
ht,Czech Republic,https://ht.wikipedia.org/wiki/Repiblik_Tch%C3%A8k, 0,  0,  1,  4,  1, 0,   6,  1,  2, 0, 0,  15,  5224
ha,Czech Republic,https://ha.wikipedia.org/wiki/Kazech, 0,  0,  0,  8, 12, 0,  23,  8,  2, 0, 0,  53,  8226
haw,Czech Republic,https://haw.wikipedia.org/wiki/Tiekia, 0,  4,  3, 84, 67, 0,  11, 80,  2, 0, 0, 251,  9458
hi,Czech Republic,https://hi.wikipedia.org/wiki/%E0%A4%9A%E0%A5%87%E0%A4%95_%E0%A4%97%E0%A4%A3%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF, 0,  0,  1,  8,  3, 0,   2,  5,  0, 1, 0,  20,  8892
hu,Czech Republic,https://hu.wikipedia.org/wiki/Csehorsz%C3%A1g, 0,  0,  6,  5, 29, 0,  65, 44, 28, 5, 0, 182, 62835
is,Czech Republic,https://is.wikipedia.org/wiki/T%C3%A9kkland, 0,  0,  0,  0,  0, 0,   0,  0,  0, 0, 0,   0, 42340
ig,Czech Republic,https://ig.wikipedia.org/wiki/Chekia, 0,  0,  3, 13,  3, 0,  28, 25,  1, 0, 0,  73,  8701
id,Czech Republic,https://id.wikipedia.org/wiki/Ceko, 0,  0,  3, 80, 13, 0,  77, 32, 25, 7, 0, 237, 44598
ga,Czech Republic,https://ga.wikipedia.org/wiki/An_tSeic, 0,  0,  1,  7,  7, 0,  14,  9,  9, 0, 0,  47, 14193
it,Czech Republic,https://it.wikipedia.org/wiki/Repubblica_Ceca, 0,  0,  7, 49, 25, 2,  40, 60, 34, 3, 0, 220, 66224
ja,Czech Republic,https://ja.wikipedia.org/wiki/%E3%83%81%E3%82%A7%E3%82%B3, 2,  0, 14,174, 24, 0,  36,118, 20,12, 0, 400, 30945
jw,Czech Republic,https://jv.wikipedia.org/wiki/R%C3%A9publik_C%C3%A9ko, 0,  0,  0,  1,  5, 0,   3,  9,  1, 0, 0,  19,  7335
kn,Czech Republic,https://kn.wikipedia.org/wiki/%E0%B2%9C%E0%B3%86%E0%B2%95%E0%B3%8D_%E0%B2%97%E0%B2%A3%E0%B2%B0%E0%B2%BE%E0%B2%9C%E0%B3%8D%E0%B2%AF, 0,  0,  0,  0,  1, 0,   0,  1,  0, 0, 0,   2,  5847
kk,Czech Republic,https://kk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%B8%D1%8F, 0,  0,  0,  6,  5, 0,  20, 10,  2, 0, 0,  43, 13419
km,Czech Republic,https://km.wikipedia.org/wiki/%E1%9E%86%E1%9F%82%E1%9E%80, 0,  0, 20,  7,  4, 0,   0,  2,  0, 0, 0,  33, 17738
ko,Czech Republic,https://ko.wikipedia.org/wiki/%EC%B2%B4%EC%BD%94, 0,  0,  0,  7,  3, 0,   6,  8,  7, 0, 0,  31, 19189
ku,Czech Republic,https://ku.wikipedia.org/wiki/%C3%87ekya, 0,  0,  3,  5, 10, 0,   7,  4,  2, 0, 0,  31, 11772
ky,Czech Republic,https://ky.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%B8%D1%8F, 0,  0,  0,  5,  5, 0,   5,  5,  0, 1, 0,  21,  7029
lo,Czech Republic,https://lo.wikipedia.org/wiki/%E0%BA%AA%E0%BA%B2%E0%BA%97%E0%BA%B2%E0%BA%A5%E0%BA%B0%E0%BA%99%E0%BA%B0%E0%BA%A5%E0%BA%B1%E0%BA%94%E0%BB%80%E0%BA%8A%E0%BA%B1%E0%BA%81, 0,  0,  0,  0,  0, 0,   1,  3, 10, 0, 0,  14,  5907
la,Czech Republic,https://la.wikipedia.org/wiki/Cechia, 0,  0, 11, 45, 23, 0,  68, 90, 10, 1, 0, 248, 54368
lv,Czech Republic,https://lv.wikipedia.org/wiki/%C4%8Cehija, 0,  0,  0,  2,  2, 0,   3,  0,  0, 0, 0,   7, 13134
lt,Czech Republic,https://lt.wikipedia.org/wiki/%C4%8Cekija, 0,  0,  0,  3,  4, 0,  13,  4,  6, 1, 0,  31, 16298
lb,Czech Republic,https://lb.wikipedia.org/wiki/Tschechesch_Republik, 0,  5,  2, 13,  4, 0,   9,  8,  0, 1, 0,  42,  7852
mk,Czech Republic,https://mk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%88%D0%BA%D0%B0, 0,  0,  0, 11,  4, 0,   6,  6,  1, 0, 0,  28, 18502
mg,Czech Republic,https://mg.wikipedia.org/wiki/Tsekia, 0,  0,  1, 16,  4, 0,  18, 11,  0, 0, 0,  50,  8347
ms,Czech Republic,https://ms.wikipedia.org/wiki/Republik_Czech, 0,  1, 16, 85, 62, 0,  55, 57,  9, 3, 2, 290, 36370
ml,Czech Republic,https://ml.wikipedia.org/wiki/%E0%B4%9A%E0%B5%86%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%8D%E2%80%8C_%E0%B4%B1%E0%B4%BF%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B4%AC%E0%B5%8D%E0%B4%B2%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%8D%E2%80%8C, 0,  0,  0,  2,  0, 0,   3,  1,  1, 0, 0,   7,  8667
mt,Czech Republic,https://mt.wikipedia.org/wiki/%C4%8Aekja, 0,  0,  0,  2,  1, 0,   5,  9,  4, 0, 0,  21, 12371
mi,Czech Republic,https://mi.wikipedia.org/wiki/T%C4%ABekia, 0,  0,  4,  6,  1, 0,   6, 11,  0, 0, 0,  28,  5290
mr,Czech Republic,https://mr.wikipedia.org/wiki/%E0%A4%9A%E0%A5%87%E0%A4%95_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9C%E0%A4%BE%E0%A4%B8%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%95, 0,  0,  0, 14,  5, 0,   9,  4,  5, 1, 0,  38,  9430
mn,Czech Republic,https://mn.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85, 0,  0,  5, 30, 24, 0,  31, 27, 20, 7, 0, 144, 25658
my,Czech Republic,https://my.wikipedia.org/wiki/%E1%80%81%E1%80%BB%E1%80%80%E1%80%BA%E1%80%9E%E1%80%99%E1%80%B9%E1%80%99%E1%80%90%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6, 0,  0, 58,221, 59, 0,  90,137, 28, 0, 0, 593, 25505
ne,Czech Republic,https://ne.wikipedia.org/wiki/%E0%A4%9A%E0%A5%87%E0%A4%95_%E0%A4%97%E0%A4%A3%E0%A4%A4%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0, 0,  2,  0,  4,  1, 0,   4,  9,  1, 0, 0,  21, 11842
no,Czech Republic,https://no.wikipedia.org/wiki/Tsjekkia, 0,  1, 14, 48, 30, 0,  38, 89, 16, 4, 0, 240, 68887
ps,Czech Republic,https://ps.wikipedia.org/wiki/%DA%86%DA%A9_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C%D8%AA, 0,  0,  0,  5,  4, 0,   8, 12,  9, 0, 0,  38, 13921
fa,Czech Republic,https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%DA%86%DA%A9, 0,  0,  0, 24, 10, 0,  13, 23,  9, 0, 0,  79, 23853
pl,Czech Republic,https://pl.wikipedia.org/wiki/Czechy, 0,  1,  6, 55,  8, 0, 183, 36, 11, 6, 0, 306,100262
pt,Czech Republic,https://pt.wikipedia.org/wiki/Ch%C3%A9quia, 0,  0, 31, 27, 36, 0,  31, 50, 18, 0, 0, 193, 55786
pa,Czech Republic,https://pa.wikipedia.org/wiki/%E0%A8%9A%E0%A9%88%E0%A9%B1%E0%A8%95_%E0%A8%97%E0%A8%A3%E0%A8%B0%E0%A8%BE%E0%A8%9C, 0,  0,  1, 14,  4, 0,   2,  8,  2, 0, 0,  31, 11331
ro,Czech Republic,https://ro.wikipedia.org/wiki/Cehia, 0,  0,  3, 29, 13, 0,  29, 48, 19, 1, 0, 142, 68620
ru,Czech Republic,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%B8%D1%8F, 0, 74, 22,243, 39,14, 286,166, 46, 3, 0, 893, 61064
sm,Czech Republic,https://sm.wikipedia.org/wiki/Ripapelika_o_Sieki, 0,  0,  1, 11,  3, 0,  12, 13,  4, 7, 0,  51,  7199
gd,Czech Republic,https://gd.wikipedia.org/wiki/An_t-Seic, 0,  0,  1,  7,  7, 0,  17,  8,  3, 0, 0,  43, 14291
sr,Czech Republic,https://sr.wikipedia.org/wiki/%D0%A7%D0%B5%D1%88%D0%BA%D0%B0, 0,  0,  1,  4,  3, 0,  12, 12,  3, 0, 0,  35, 19822
st,Czech Republic,https://st.wikipedia.org/wiki/Czechia, 0,  0,  0,  0,  0, 0,   2,  2,  0, 0, 0,   4,  5639
sn,Czech Republic,https://sn.wikipedia.org/wiki/Cheki, 0,  0,  0,  0,  0, 0,   3,  0,  0, 0, 0,   3,  5708
sd,Czech Republic,https://sd.wikipedia.org/wiki/%DA%86%D9%8A%DA%AA_%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A7, 0,  0,  0,  7,  3, 0,   0,  3,  0, 0, 0,  13,  4686
si,Czech Republic,https://si.wikipedia.org/wiki/%E0%B6%A0%E0%B7%99%E0%B6%9A%E0%B7%8A_%E0%B6%A2%E0%B6%B1%E0%B6%BB%E0%B6%A2%E0%B6%BA, 0,  0,  0,  8,  2, 0,  10,  5,  0, 0, 0,  25, 10927
sk,Czech Republic,https://sk.wikipedia.org/wiki/%C4%8Cesko, 0,  0,  0,  7, 11, 0,  13,  9,  6, 0, 0,  46, 55694
sl,Czech Republic,https://sl.wikipedia.org/wiki/%C4%8Ce%C5%A1ka, 0,  0,  7, 28, 13, 0,  32,101, 33, 1, 0, 215, 70465
so,Czech Republic,https://so.wikipedia.org/wiki/Jamhuuriyadda_Jek, 0,  0,  1,  9, 14, 0,  12, 10,  0, 0, 0,  46, 13562
es,Czech Republic,https://es.wikipedia.org/wiki/Rep%C3%BAblica_Checa, 2,  3,  6, 76, 50, 0,  43,100, 56, 8, 0, 344,111151
su,Czech Republic,https://su.wikipedia.org/wiki/C%C3%A9ko, 0,  0,  0,  3, 12, 0,  10,  4,  1, 1, 0,  31, 19910
sw,Czech Republic,https://sw.wikipedia.org/wiki/Ucheki, 0,  0,  4,  2,  8, 0,  12, 13,  5, 0, 0,  44,  9393
sv,Czech Republic,https://sv.wikipedia.org/wiki/Tjeckien, 0,  1,  0,  2,  9, 0,   8, 16, 15, 1, 0,  52, 29022
tg,Czech Republic,https://tg.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%B8%D1%8F, 0,  0,  0,  2,  2, 0,   3,  3,  3, 0, 0,  13,  9491
ta,Czech Republic,https://ta.wikipedia.org/wiki/%E0%AE%9A%E0%AF%86%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AF%81%E0%AE%9F%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AE%9A%E0%AF%81, 0,  0,  0,  0,  0, 0,   4,  8,  0, 0, 0,  12,  7855
te,Czech Republic,https://te.wikipedia.org/wiki/%E0%B0%9A%E0%B1%86%E0%B0%95%E0%B1%8D_%E0%B0%B0%E0%B0%BF%E0%B0%AA%E0%B0%AC%E0%B1%8D%E0%B0%B2%E0%B0%BF%E0%B0%95%E0%B1%8D, 0,  0,  4, 86, 24, 0,  43, 58,  9, 6, 2, 232,116242
th,Czech Republic,https://th.wikipedia.org/wiki/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%80%E0%B8%8A%E0%B9%87%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2, 0,  0, 11,137,138, 0, 234,130, 16, 4, 0, 670, 28761
tr,Czech Republic,https://tr.wikipedia.org/wiki/%C3%87ek_Cumhuriyeti, 0,  0,  0,  8,  7, 0,  24, 24, 10, 0, 0,  73, 27465
uk,Czech Republic,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D1%96%D1%8F, 0,  0,  4, 10, 10, 0,  17, 26, 20, 0, 0,  87, 54272
ur,Czech Republic,https://ur.wikipedia.org/wiki/%DA%86%DB%8C%DA%A9_%D8%AC%D9%85%DB%81%D9%88%D8%B1%DB%8C%DB%81, 0,  0,  0,  3, 10, 0,   5,  5,  0, 2, 0,  25, 11166
uz,Czech Republic,https://uz.wikipedia.org/wiki/Chexiya, 0,  0,  3, 49, 41, 0,  74,117, 19, 2, 0, 305, 58552
vi,Czech Republic,https://vi.wikipedia.org/wiki/S%C3%A9c, 0,  0, 17,170, 46, 0,  49,118, 31, 1, 0, 432, 58562
cy,Czech Republic,https://cy.wikipedia.org/wiki/Y_Weriniaeth_Tsiec, 0,  0,  0,  3,  3, 0,   4,  5,  0, 0, 0,  15,  8404
yi,Czech Republic,https://yi.wikipedia.org/wiki/%D7%98%D7%A9%D7%A2%D7%9B%D7%99%D7%99, 0,  0,  0,  7,  4, 0,   1, 14,  3, 0, 0,  29, 12927
yo,Czech Republic,https://yo.wikipedia.org/wiki/Ts%E1%BA%B9%CC%81k%C3%AC_Ol%C3%B3m%C3%ACnira, 0,  0,  3, 17,  8, 0,   2, 22,  7, 1, 0,  60, 11428
zu,Czech Republic,https://zu.wikipedia.org/wiki/ITsheki, 0,  0,  1,  0,  0, 0,   1,  3,  0, 0, 0,   5,  5791
af,Danish Realm,https://af.wikipedia.org/wiki/Koninkryk_van_Denemarke, 0,  0,  0,  2,  1, 0,   6,  3,  1, 0, 0,  13,  5775
ar,Danish Realm,https://ar.wikipedia.org/wiki/%D9%85%D9%85%D9%84%D9%83%D8%A9_%D8%A7%D9%84%D8%AF%D9%86%D9%85%D8%A7%D8%B1%D9%83_(%D8%AF%D9%88%D9%84%D8%A9), 0,  0,  0, 12,  5, 0,  12, 13,  1, 2, 0,  45, 12707
az,Danish Realm,https://az.wikipedia.org/wiki/Danimarka_krall%C4%B1%C4%9F%C4%B1, 0,  0,  0,  5,  5, 1,   5, 14,  6, 0, 0,  36,  8228
be,Danish Realm,https://be.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BB%D0%B5%D1%9E%D1%81%D1%82%D0%B2%D0%B0_%D0%94%D0%B0%D0%BD%D1%96%D1%8F, 0,  0,  0,  1,  3, 0,   0,  3,  0, 0, 0,   7,  4016
ca,Danish Realm,https://ca.wikipedia.org/wiki/Regne_de_Dinamarca, 0,  0,  0,  7, 10, 0,  11, 16,  5, 0, 0,  49, 13815
zh,Danish Realm,https://zh.wikipedia.org/wiki/%E4%B8%B9%E9%BA%A5%E7%8E%8B%E5%9C%8B, 0,  0, 10, 30, 15, 0,  48, 77, 37, 7, 0, 224, 17023
hr,Danish Realm,https://hr.wikipedia.org/wiki/Kraljevina_Danska, 0,  0,  0,  0,  0, 0,   0,  6,  3, 0, 0,   9,  3610
cs,Danish Realm,https://cs.wikipedia.org/wiki/D%C3%A1nsk%C3%A9_kr%C3%A1lovstv%C3%AD, 0,  0,  0,  1,  2, 0,   0,  4,  1, 0, 0,   8,  5485
da,Danish Realm,https://da.wikipedia.org/wiki/Kongeriget_Danmark, 0,  0,  0,  7,  3, 0,  10,  6,  1, 0, 0,  27, 13239
nl,Danish Realm,https://nl.wikipedia.org/wiki/Koninkrijk_Denemarken, 0,  0,  0,  2,  1, 0,   6, 11,  0, 0, 0,  20,  6768
en,Danish Realm,https://en.wikipedia.org/wiki/Danish_Realm, 0,  0,  2, 15, 11, 0,  71, 38,  6, 4, 0, 147, 44841
eo,Danish Realm,https://eo.wikipedia.org/wiki/Re%C4%9Dlando_Danio, 0,  0,  0,  0,  1, 0,   1,  7,  2, 0, 0,  11,  6655
et,Danish Realm,https://et.wikipedia.org/wiki/Taani_Kuningriik, 0,  0,  0,  5, 12, 0,   4,  7,  1, 1, 0,  30, 11050
fi,Danish Realm,https://fi.wikipedia.org/wiki/Tanskan_kuningaskunta, 0,  0,  0,  2,  1, 0,   0,  1,  0, 0, 0,   4,  4930
fr,Danish Realm,https://fr.wikipedia.org/wiki/Danemark, 0,  0, 25,132, 68, 0,  98,233,149, 3, 0, 708,150013
de,Danish Realm,https://de.wikipedia.org/wiki/K%C3%B6nigreich_D%C3%A4nemark, 0,  0,  1, 11,  5, 0,  39, 67,  6, 0, 0, 129, 13049
el,Danish Realm,https://el.wikipedia.org/wiki/%CE%92%CE%B1%CF%83%CE%AF%CE%BB%CE%B5%CE%B9%CE%BF_%CF%84%CE%B7%CF%82_%CE%94%CE%B1%CE%BD%CE%AF%CE%B1%CF%82, 0,  0,  0,  2,  0, 0,   3,  8,  2, 0, 0,  15,  7306
hu,Danish Realm,https://hu.wikipedia.org/wiki/D%C3%A1n_Kir%C3%A1lys%C3%A1g, 0,  0,  0,  1,  3, 0,   4,  7,  0, 1, 0,  16,  8890
is,Danish Realm,https://is.wikipedia.org/wiki/Konungsr%C3%ADki%C3%B0_Danm%C3%B6rk, 0,  0,  0,  0,  0, 0,   0,  0,  0, 0, 0,   0,  2711
id,Danish Realm,https://id.wikipedia.org/wiki/Kerajaan_Denmark, 0,  0,  0, 24,  1, 0,  22,  8,  5, 0, 0,  60, 11562
it,Danish Realm,https://it.wikipedia.org/wiki/Regno_di_Danimarca, 0,  0,  1,  1,  4, 0,   5,  5,  0, 0, 0,  16,  8927
