lang,co,link,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,sum,tot
da,Sudan,https://da.wikipedia.org/wiki/Sudan, 0,  0,  6,  33, 16, 0,  20, 21,  4,  0, 0, 100, 35445
nl,Sudan,https://nl.wikipedia.org/wiki/Soedan, 0,  1, 15,  55, 21, 0,  16, 48,  6,  0, 0, 162, 41340
en,Sudan,https://en.wikipedia.org/wiki/Sudan, 0,  6, 98, 267, 94, 0, 152,123, 32,  4, 0, 776,127147
eo,Sudan,https://eo.wikipedia.org/wiki/Sudano, 0,  0,  3,  19,  8, 0,  11, 30, 29,  0, 0, 100, 25703
et,Sudan,https://et.wikipedia.org/wiki/Sudaan, 0,  0,  2,  13,  2, 0,   9,  9,  7,  0, 0,  42, 14846
tl,Sudan,https://tl.wikipedia.org/wiki/Sudan, 0,  0,  0,   0,  2, 0,   5,  3,  0,  0, 0,  10,  8359
fi,Sudan,https://fi.wikipedia.org/wiki/Sudan, 0,  0,  8,  43, 28, 0,  13, 28, 17,  0, 0, 137, 61752
fr,Sudan,https://fr.wikipedia.org/wiki/Soudan, 0,  0, 13,  78, 31, 0,  29, 49, 45,  1, 0, 246, 53808
fy,Sudan,https://fy.wikipedia.org/wiki/S%C3%BBdan, 0,  0,  1,   3,  1, 0,   6, 20, 23,  1, 0,  55,  7158
gl,Sudan,https://gl.wikipedia.org/wiki/Sud%C3%A1n, 0,  0, 10,  36, 35, 0,  18, 44, 42,  0, 0, 185, 42023
ka,Sudan,https://ka.wikipedia.org/wiki/%E1%83%A1%E1%83%A3%E1%83%93%E1%83%90%E1%83%9C%E1%83%98, 0,  0,  3,  18, 14, 0,  24, 18, 12,  1, 1,  91, 32545
de,Sudan,https://de.wikipedia.org/wiki/Sudan, 0,  2, 57, 228,112, 0, 208,242, 37,  6, 0, 892, 94658
el,Sudan,https://el.wikipedia.org/wiki/%CE%A3%CE%BF%CF%85%CE%B4%CE%AC%CE%BD, 0,  0,  8,  30,  5, 9,  15, 13,  8,  3, 0,  91, 33217
gu,Sudan,https://gu.wikipedia.org/wiki/%E0%AA%B8%E0%AB%81%E0%AA%A6%E0%AA%BE%E0%AA%A8, 0,  0,  0,   2,  8, 0,   2,  3,  0,  0, 0,  15,  5760
ht,Sudan,https://ht.wikipedia.org/wiki/Soudan, 0,  0,  1,   4,  1, 0,   6,  2,  2,  0, 0,  16,  5168
ha,Sudan,https://ha.wikipedia.org/wiki/Sudan, 0,  0,  0,  11, 11, 0,  27, 13,  2,  0, 0,  64,  8859
hi,Sudan,https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%82%E0%A4%A1%E0%A4%BE%E0%A4%A8, 0,  0,  0,  10,  6, 0,   9,  8,  0,  2, 0,  35, 10294
hu,Sudan,https://hu.wikipedia.org/wiki/Szud%C3%A1n, 0,  1,  9,  11, 15, 0,  23, 24,  7,  1, 1,  92, 32327
is,Sudan,https://is.wikipedia.org/wiki/S%C3%BAdan, 0,  0,  0,   0,  0, 0,   0,  0,  0,  0, 0,   0, 13645
ig,Sudan,https://ig.wikipedia.org/wiki/Sudan, 0,  0,  3,  10,  2, 0,  13,  7,  1,  0, 0,  36,  5455
id,Sudan,https://id.wikipedia.org/wiki/Sudan, 0,  0,  1,  10,  6, 0,  13, 13,  5,  4, 0,  52, 15992
ga,Sudan,https://ga.wikipedia.org/wiki/An_tS%C3%BAd%C3%A1in, 0,  0,  5,  21,  6, 0,  15, 16,  9,  0, 0,  72, 11751
it,Sudan,https://it.wikipedia.org/wiki/Sudan, 5,  0, 10,  75, 38, 1,  44, 59, 16,  0, 1, 249, 67984
ja,Sudan,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%BC%E3%83%80%E3%83%B3,14,  0, 17, 216, 48, 1,  45, 99, 48, 15, 0, 503, 30890
jw,Sudan,https://jv.wikipedia.org/wiki/Sudan, 0,  0,  0,   2,  7, 0,   0,  8,  2,  0, 0,  19,  6569
kn,Sudan,https://kn.wikipedia.org/wiki/%E0%B2%B8%E0%B3%81%E0%B2%A1%E0%B2%BE%E0%B2%A8%E0%B3%8D, 0,  0,  1,   2,  5, 0,   1,  3,  1,  0, 0,  13, 12165
kk,Sudan,https://kk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 1,  0,  3,  11,  5, 0,  12,  8,  0,  1, 0,  41, 15907
km,Sudan,https://km.wikipedia.org/wiki/%E1%9E%9F%E1%9F%8A%E1%9E%BC%E1%9E%8A%E1%9E%84%E1%9F%8B, 0,  0, 11,   5,  4, 0,   0,  2,  0,  0, 0,  22,  7498
ko,Sudan,https://ko.wikipedia.org/wiki/%EC%88%98%EB%8B%A8, 0,  1,  3,  13,  6, 2,   6,  8,  5,  0, 0,  44, 14704
ku,Sudan,https://ku.wikipedia.org/wiki/S%C3%BBdan, 0,  0,  0,   3,  7, 0,   6,  3,  3,  0, 0,  22,  7621
ky,Sudan,https://ky.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 1,  0,  0,   5,  5, 0,   5, 10,  1,  0, 0,  27,  7382
la,Sudan,https://la.wikipedia.org/wiki/Sudania, 0,  0,  6,  10,  7, 0,  25, 19,  4,  0, 0,  71, 14642
lv,Sudan,https://lv.wikipedia.org/wiki/Sud%C4%81na, 0,  0,  0,   6,  2, 0,   3,  0,  0,  1, 0,  12, 15400
lt,Sudan,https://lt.wikipedia.org/wiki/Sudanas, 0,  0,  2,   7,  2, 0,   9,  3,  5,  0, 0,  28, 16933
lb,Sudan,https://lb.wikipedia.org/wiki/Sudan, 0,  5,  2,  12,  4, 0,  10, 12,  4,  0, 0,  49,  8094
mk,Sudan,https://mk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 0,  0,  0,   5,  1, 0,   6,  2,  1,  0, 0,  15, 14754
mg,Sudan,https://mg.wikipedia.org/wiki/Sod%C3%A0na, 0,  0,  1,  11,  2, 0,  10,  9,  1,  0, 0,  34,  7329
ms,Sudan,https://ms.wikipedia.org/wiki/Sudan, 0,  1,  0,   8,  7, 0,   8,  8,  5,  1, 0,  38, 13935
ml,Sudan,https://ml.wikipedia.org/wiki/%E0%B4%B8%E0%B5%81%E0%B4%A1%E0%B4%BE%E0%B5%BB, 0,  0,  0,   2,  0, 0,   4,  2,  1,  0, 0,   9, 11294
mt,Sudan,https://mt.wikipedia.org/wiki/Sudan, 0,  0,  0,   2,  1, 0,   1,  1,  0,  0, 0,   5,  5633
mi,Sudan,https://mi.wikipedia.org/wiki/H%C5%ABt%C4%81ne, 0,  0,  2,   5,  1, 0,   5,  9,  0,  0, 0,  22,  4323
mr,Sudan,https://mr.wikipedia.org/wiki/%E0%A4%B8%E0%A5%81%E0%A4%A6%E0%A4%BE%E0%A4%A8, 0,  0,  0,   3,  3, 0,   5,  3,  1,  0, 0,  15,  6165
mn,Sudan,https://mn.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 0,  0,  0,   7,  7, 0,   8,  7,  0,  2, 0,  31,  8904
my,Sudan,https://my.wikipedia.org/wiki/%E1%80%86%E1%80%B0%E1%80%92%E1%80%94%E1%80%BA%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6, 1,  0, 32, 112, 38, 0,  33, 58, 13,  1, 0, 288, 13106
ne,Sudan,https://ne.wikipedia.org/wiki/%E0%A4%B8%E0%A5%81%E0%A4%A1%E0%A4%BE%E0%A4%A8, 0,  0,  0,   3,  1, 0,   3,  9,  1,  1, 0,  18,  8051
no,Sudan,https://no.wikipedia.org/wiki/Sudan, 0,  0,  3,  13,  5, 0,   8, 24,  2,  0, 0,  55, 22003
ps,Sudan,https://ps.wikipedia.org/wiki/%D8%B3%D9%88%DA%89%D8%A7%D9%86, 0,  0,  2,  15, 17, 0,  18, 18,  7,  0, 0,  77, 12694
fa,Sudan,https://fa.wikipedia.org/wiki/%D8%B3%D9%88%D8%AF%D8%A7%D9%86, 0,  0, 13,  95, 39, 0,  54, 73, 26,  0, 1, 301, 48021
pl,Sudan,https://pl.wikipedia.org/wiki/Sudan, 0,  0,  2,  11,  3, 0,  43,  4,  5,  1, 0,  69, 23350
pt,Sudan,https://pt.wikipedia.org/wiki/Sud%C3%A3o, 0,  0, 20,  59, 39, 0,  26, 26, 12,  1, 0, 183, 36143
pa,Sudan,https://pa.wikipedia.org/wiki/%E0%A8%B8%E0%A9%81%E0%A8%A1%E0%A8%BE%E0%A8%A8, 0,  0,  0,  11,  6, 0,   6, 13,  1,  1, 0,  38, 11090
ro,Sudan,https://ro.wikipedia.org/wiki/Sudan, 0,  0,  3,   7,  3, 0,  10, 11,  4,  0, 0,  38, 20262
ru,Sudan,https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 2, 82, 58, 179, 24, 8, 466,129, 24,  0, 0, 972, 51407
sm,Sudan,https://sm.wikipedia.org/wiki/Sudan, 0,  0,  1,   1,  0, 0,   2,  2,  1,  0, 0,   7,  4418
gd,Sudan,https://gd.wikipedia.org/wiki/Sudan, 0,  0,  0,   6,  2, 0,  13,  4,  0,  0, 0,  25,  6407
sr,Sudan,https://sr.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 0,  0,  0,  16,  3, 0,  17, 36,  6,  3, 0,  81, 41269
st,Sudan,https://st.wikipedia.org/wiki/Sudan, 0,  0,  0,   0,  1, 0,   2,  2,  0,  0, 0,   5,  4993
sn,Sudan,https://sn.wikipedia.org/wiki/Sudhani, 0,  0,  0,   0,  0, 0,   2,  0,  0,  0, 0,   2,  6374
sd,Sudan,https://sd.wikipedia.org/wiki/%D8%B3%D9%88%DA%8A%D8%A7%D9%86, 0,  0,  4,  11, 11, 0,   6, 13,  0,  0, 0,  45,  9111
sk,Sudan,https://sk.wikipedia.org/wiki/Sud%C3%A1n, 0,  0,  0,   5,  2, 0,   3,  1,  2,  0, 0,  13, 14805
sl,Sudan,https://sl.wikipedia.org/wiki/Sudan, 0,  0,  1,   3,  0, 0,   2,  8,  3,  1, 0,  18, 12512
so,Sudan,https://so.wikipedia.org/wiki/Suudaan, 0,  0,  2,   8,  3, 0,   1, 10,  0,  0, 0,  24, 11214
es,Sudan,https://es.wikipedia.org/wiki/Sud%C3%A1n, 0,  0,  6,  71, 30, 0,  15, 29, 10,  1, 0, 162, 44348
su,Sudan,https://su.wikipedia.org/wiki/Sudan, 0,  0,  0,   2,  3, 0,   2,  3,  3,  0, 0,  13, 15076
sw,Sudan,https://sw.wikipedia.org/wiki/Sudan, 0,  0,  5,  31, 26, 0,  31, 33, 16,  5, 0, 147, 23819
sv,Sudan,https://sv.wikipedia.org/wiki/Sudan, 0,  0,  9,  25, 17, 5,   9, 26, 11,  0, 0, 102, 49588
tg,Sudan,https://tg.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%BE%D0%BD, 0,  0,  0,   1,  4, 0,   3,  2,  2,  0, 0,  12,  8001
ta,Sudan,https://ta.wikipedia.org/wiki/%E0%AE%9A%E0%AF%82%E0%AE%9F%E0%AE%BE%E0%AE%A9%E0%AF%8D, 0,  1,  0,   2,  1, 0,  45, 10,  0,  0, 0,  59, 16635
te,Sudan,https://te.wikipedia.org/wiki/%E0%B0%B8%E0%B1%82%E0%B0%A1%E0%B0%BE%E0%B0%A8%E0%B1%8D, 0,  0,  8,  93, 14, 0,  20, 36,  3,  4, 0, 178, 74529
th,Sudan,https://th.wikipedia.org/wiki/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%8B%E0%B8%B9%E0%B8%94%E0%B8%B2%E0%B8%99, 0,  0,  8, 108,110, 0, 111, 97, 12,  3, 0, 449, 28394
tr,Sudan,https://tr.wikipedia.org/wiki/Sudan, 0,  0,  3,  21, 11, 0,  32, 26, 12,  2, 0, 107, 30529
uk,Sudan,https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B0%D0%BD, 0,  0,  3,  26,  5, 0,  24, 27,  9,  1, 0,  95, 47006
ur,Sudan,https://ur.wikipedia.org/wiki/%D8%B3%D9%88%DA%88%D8%A7%D9%86, 0,  0,  1,  11,  9, 0,  15, 17,  3,  6, 0,  62, 16384
uz,Sudan,https://uz.wikipedia.org/wiki/Sudan, 0,  0,  1,  20, 16, 0,  15, 34,  7,  2, 1,  96, 22874
vi,Sudan,https://vi.wikipedia.org/wiki/Sudan, 2,  0, 11, 160, 42, 0,  39, 58, 22,  2, 0, 336, 44213
cy,Sudan,https://cy.wikipedia.org/wiki/Swdan, 0,  0,  0,   4,  2, 0,   7,  4,  0,  0, 0,  17,  8801
yi,Sudan,https://yi.wikipedia.org/wiki/%D7%A1%D7%95%D7%93%D7%90%D7%9F, 0,  0,  0,   3,  1, 0,   1,  4,  2,  0, 0,  11,  7179
yo,Sudan,https://yo.wikipedia.org/wiki/Sudan, 0,  0,  2,  12,  7, 0,   2, 19,  3,  0, 0,  45,  6795
zu,Sudan,https://zu.wikipedia.org/wiki/ISudan, 0,  0,  1,   0,  0, 0,   1,  3,  0,  0, 0,   5,  6045
af,Suriname,https://af.wikipedia.org/wiki/Suriname, 1,  0,  5,  22,  4, 0,  34, 16,  9,  0, 0,  91, 27760
sq,Suriname,https://sq.wikipedia.org/wiki/Surinami, 0,  0,  0,   6,  3, 0,   1,  5,  2,  0, 0,  17,  9295
am,Suriname,https://am.wikipedia.org/wiki/%E1%88%B1%E1%88%AA%E1%8A%93%E1%88%9D, 0,  0,  0,   0,  0, 0,   1,  7,  0,  0, 0,   8,  4323
ar,Suriname,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D9%86%D8%A7%D9%85, 0,  1,  4,  22, 20, 0,  13, 48, 15,  4, 0, 127, 53791
hy,Suriname,https://hy.wikipedia.org/wiki/%D5%8D%D5%B8%D6%82%D6%80%D5%AB%D5%B6%D5%A1%D5%B4, 0,  0,  2,   1,  1, 0,   5,  6,  4,  0, 0,  19, 12082
az,Suriname,https://az.wikipedia.org/wiki/Surinam, 3,  0,  0,  11, 12, 3,  34, 47,  7,  0, 0, 117, 21790
eu,Suriname,https://eu.wikipedia.org/wiki/Surinam, 0,  0,  1,   8, 13, 0,   8, 16,  7,  1, 0,  54, 16870
be,Suriname,https://be.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D1%8B%D0%BD%D0%B0%D0%BC, 1,  0,  9,   1,  1, 0,   6, 13,  4,  0, 0,  35, 14426
bn,Suriname,https://bn.wikipedia.org/wiki/%E0%A6%B8%E0%A7%81%E0%A6%B0%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A6%AE, 0,  0,  3,  17, 13, 0,  10, 16, 22,  0, 0,  81, 27585
bs,Suriname,https://bs.wikipedia.org/wiki/Surinam, 0,  0,  0,   2,  1, 0,   6,  4,  0,  0, 0,  13,  9669
bg,Suriname,https://bg.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B8%D0%BD%D0%B0%D0%BC, 1,  0,  5,   3,  3, 0,   9, 10,  0,  0, 0,  31, 12882
ca,Suriname,https://ca.wikipedia.org/wiki/Surinam, 0,  0,  2,   8,  9, 0,   7, 16,  9,  0, 0,  51, 14906
ceb,Suriname,https://ceb.wikipedia.org/wiki/Surinam, 0,  0,  1,   1,  0, 0,   1,  3,  0,  0, 0,   6,  4622
zh,Suriname,https://zh.wikipedia.org/wiki/%E8%98%87%E5%88%A9%E5%8D%97, 0,  0,  3,  44, 23, 0,  88, 41, 88, 15, 0, 302, 16806
zh-TW,Suriname,https://zh-classical.wikipedia.org/wiki/%E8%98%87%E5%88%A9%E5%8D%97, 0,  0,  0,   0,  0, 0,   0,  0,  0,  0, 0,   0,  3750
co,Suriname,https://co.wikipedia.org/wiki/Suriname, 0,  0,  1,   4,  3, 0,   0,  6,  0,  0, 0,  14,  4655
hr,Suriname,https://hr.wikipedia.org/wiki/Surinam, 0,  0,  0,   1,  0, 0,   3,  7,  6,  0, 0,  17, 11991
cs,Suriname,https://cs.wikipedia.org/wiki/Surinam, 0,  0,  9,  13,  9, 0,   4, 41,  9,  2, 0,  87, 39652
da,Suriname,https://da.wikipedia.org/wiki/Surinam, 0,  0,  1,   4,  1, 0,   6,  4,  3,  0, 0,  19, 17116
nl,Suriname,https://nl.wikipedia.org/wiki/Suriname, 0,  0, 18,  31, 22, 0,  35, 94, 11,  0, 0, 211, 67454
en,Suriname,https://en.wikipedia.org/wiki/Suriname, 0,  1, 30,  87, 39, 0,  81, 88, 32,  8, 0, 366, 91092
eo,Suriname,https://eo.wikipedia.org/wiki/Surinamo, 0,  0,  6,  22,  9, 0,   4, 29, 25,  1, 0,  96, 21484
et,Suriname,https://et.wikipedia.org/wiki/Suriname, 0,  0,  1,   2,  0, 0,   3,  2,  1,  0, 0,   9,  9718
tl,Suriname,https://tl.wikipedia.org/wiki/Suriname, 0,  0,  3,   2,  2, 0,   4,  4,  0,  0, 0,  15,  7143
fi,Suriname,https://fi.wikipedia.org/wiki/Suriname, 0,  0,  6,  12, 14, 0,   7,  9,  7,  0, 0,  55, 30927
fr,Suriname,https://fr.wikipedia.org/wiki/Suriname, 0,  0,  7,  27, 12, 0,  25, 38, 28,  0, 0, 137, 41303
fy,Suriname,https://fy.wikipedia.org/wiki/Suriname, 0,  0,  3,  11,  6, 0,   7, 29, 38,  0, 0,  94,  8978
gl,Suriname,https://gl.wikipedia.org/wiki/Suriname, 0,  0,  1,   6,  7, 0,   5, 17, 14,  0, 0,  50, 12888
ka,Suriname,https://ka.wikipedia.org/wiki/%E1%83%A1%E1%83%A3%E1%83%A0%E1%83%98%E1%83%9C%E1%83%90%E1%83%9B%E1%83%98, 0,  0,  9,  21, 17, 1,  23, 13, 11,  3, 0,  98, 25262
de,Suriname,https://de.wikipedia.org/wiki/Suriname, 0,  0, 53,  74, 46, 0, 157,169, 39,  3, 0, 541, 66118
el,Suriname,https://el.wikipedia.org/wiki/%CE%A3%CE%BF%CF%85%CF%81%CE%B9%CE%BD%CE%AC%CE%BC, 0,  1,  5,   3,  3, 1,   9, 15,  2,  0, 0,  39, 19428
gu,Suriname,https://gu.wikipedia.org/wiki/%E0%AA%B8%E0%AB%81%E0%AA%B0%E0%AB%80%E0%AA%A8%E0%AA%BE%E0%AA%AE, 0,  0,  0,   8,  9, 0,   3,  4,  1,  0, 0,  25,  9310
ht,Suriname,https://ht.wikipedia.org/wiki/Sirinam, 0,  0,  1,   4,  1, 0,   3,  1,  2,  0, 0,  12,  4517
ha,Suriname,https://ha.wikipedia.org/wiki/Suriname, 0,  0,  0,  10, 10, 0,  21,  5,  2,  0, 0,  48,  5965
hi,Suriname,https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%82%E0%A4%B0%E0%A5%80%E0%A4%A8%E0%A4%BE%E0%A4%AE, 0,  0,  1,   6,  4, 0,   4,  4,  2,  1, 0,  22,  7862
hu,Suriname,https://hu.wikipedia.org/wiki/Suriname, 0,  0,  9,   6, 12, 0,  15, 10,  5,  0, 0,  57, 25157
is,Suriname,https://is.wikipedia.org/wiki/S%C3%BAr%C3%ADnam, 0,  0,  0,   0,  0, 0,   0,  0,  0,  0, 0,   0, 21597
ig,Suriname,https://ig.wikipedia.org/wiki/Suriname, 0,  0,  3,   7,  1, 0,  12,  7,  1,  0, 0,  31,  4401
id,Suriname,https://id.wikipedia.org/wiki/Suriname, 0,  0,  8,  50, 18, 1,  41, 53, 14,  7, 0, 192, 34231
ga,Suriname,https://ga.wikipedia.org/wiki/Suranam, 0,  0,  2,  18, 10, 0,  37, 18, 17,  0, 0, 102, 23200
it,Suriname,https://it.wikipedia.org/wiki/Suriname, 0,  0,  1,   6,  4, 0,   6, 16,  3,  0, 0,  36, 24460
ja,Suriname,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%AA%E3%83%8A%E3%83%A0, 5,  0, 15,  56, 12, 0,  11, 45,  7,  1, 0, 152, 13666
jw,Suriname,https://jv.wikipedia.org/wiki/Suriname, 0,  0,  0,  10, 19, 0,  12, 15,  7,  0, 0,  63, 13036
kn,Suriname,https://kn.wikipedia.org/wiki/%E0%B2%B8%E0%B3%81%E0%B2%B0%E0%B2%BF%E0%B2%A8%E0%B2%BE%E0%B2%AE%E0%B3%8D, 0,  0,  2,   0,  2, 0,   1,  2,  0,  0, 0,   7,  6426
kk,Suriname,https://kk.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B8%D0%BD%D0%B0%D0%BC, 0,  0,  1,   5,  6, 0,   9,  5,  0,  0, 0,  26, 10433
ko,Suriname,https://ko.wikipedia.org/wiki/%EC%88%98%EB%A6%AC%EB%82%A8, 0,  0,  0,  10,  3, 1,  10,  6,  0,  0, 0,  30, 11134
ku,Suriname,https://ku.wikipedia.org/wiki/S%C3%BBr%C3%AEnam, 0,  0,  1,   2,  5, 0,   5,  2,  1,  0, 0,  16,  7840
ky,Suriname,https://ky.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B8%D0%BD%D0%B0%D0%BC, 0,  0,  0,   4,  4, 0,   3,  2,  0,  0, 0,  13,  5008
lo,Suriname,https://lo.wikipedia.org/wiki/%E0%BA%9B%E0%BA%B0%E0%BB%80%E0%BA%97%E0%BA%94%E0%BA%8A%E0%BA%B9%E0%BA%A3%E0%BA%B4%E0%BA%99%E0%BA%B2%E0%BA%A1, 0,  0,  0,   0,  0, 0,   0,  3,  3,  0, 0,   6,  4231
la,Suriname,https://la.wikipedia.org/wiki/Surinamia, 0,  0,  6,  13, 11, 0,  32, 23,  7,  0, 0,  92, 23000
lv,Suriname,https://lv.wikipedia.org/wiki/Surinama, 0,  0,  1,   1,  3, 0,   5,  4,  1,  1, 0,  16, 14892
lt,Suriname,https://lt.wikipedia.org/wiki/Surinamas, 0,  0,  0,   3,  2, 0,  14,  5,  5,  0, 0,  29, 12796
lb,Suriname,https://lb.wikipedia.org/wiki/Surinam, 0,  5,  3,  15,  4, 0,   4, 12,  5,  0, 0,  48,  6958
mk,Suriname,https://mk.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B8%D0%BD%D0%B0%D0%BC, 0,  0,  4,   6,  4, 0,   6,  9,  6,  0, 0,  35, 21095
mg,Suriname,https://mg.wikipedia.org/wiki/Sorinama, 0,  0,  1,  10,  2, 0,   6,  7,  0,  0, 0,  26,  5061
ms,Suriname,https://ms.wikipedia.org/wiki/Suriname, 0,  1,  4,  27, 17, 0,  33, 22,  5,  2, 1, 112, 21129
ml,Suriname,https://ml.wikipedia.org/wiki/%E0%B4%B8%E0%B5%81%E0%B4%B0%E0%B4%BF%E0%B4%A8%E0%B4%BE%E0%B4%82, 0,  0,  0,   2,  0, 0,   2,  1,  1,  0, 0,   6,  6769
mt,Suriname,https://mt.wikipedia.org/wiki/Surinam, 0,  0,  0,   1,  1, 0,   2,  3,  1,  0, 0,   8,  7441
mi,Suriname,https://mi.wikipedia.org/wiki/Hurin%C4%81me, 0,  0,  2,   5,  1, 0,   5,  9,  0,  0, 0,  22,  4152
mr,Suriname,https://mr.wikipedia.org/wiki/%E0%A4%B8%E0%A5%81%E0%A4%B0%E0%A4%BF%E0%A4%A8%E0%A4%BE%E0%A4%AE, 0,  0,  0,   4,  3, 0,   5,  3,  1,  0, 0,  16,  7111
mn,Suriname,https://mn.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B8%D0%BD%D0%B0%D0%BC, 0,  0,  1,   6,  6, 0,   7,  7,  1,  1, 0,  29,  7543
my,Suriname,https://my.wikipedia.org/wiki/%E1%80%86%E1%80%B0%E1%80%9B%E1%80%AC%E1%80%94%E1%80%99%E1%80%BA%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6, 0,  0,  9,  42, 13, 0,   6, 15,  5,  0, 0,  90,  6020
ne,Suriname,https://ne.wikipedia.org/wiki/%E0%A4%B8%E0%A5%81%E0%A4%B0%E0%A4%BF%E0%A4%A8%E0%A4%BE%E0%A4%AE, 0,  0,  0,   2,  1, 0,   5,  5,  1,  0, 0,  14,  6062
no,Suriname,https://no.wikipedia.org/wiki/Surinam, 0,  0,  0,   3,  4, 0,   3,  7,  2,  0, 0,  19, 15500
ps,Suriname,https://ps.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%DB%8C%D9%86%D8%A7%D9%85, 0,  0,  8,  11,  7, 0,  10, 13,  7,  0, 0,  56, 12694
fa,Suriname,https://fa.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%DB%8C%D9%86%D8%A7%D9%85, 0,  0,  9,  29, 11, 0,  18, 21, 11,  1, 0, 100, 19957
pl,Suriname,https://pl.wikipedia.org/wiki/Surinam, 0,  0,  0,  12,  5, 0,  34,  9,  0,  0, 0,  60, 22384
