lat,long,hot,cold,tz
-26, 2.222222e+01,NA,NA,NA
-26, 2.333333e+01,NA,NA,NA
-26, 2.444444e+01,NA,NA,NA
-26, 2.555556e+01,NA,NA,NA
-26, 2.666667e+01,NA,NA,NA
-26, 2.777778e+01,NA,NA,NA
-26, 2.888889e+01,NA,NA,NA
-26, 3.000000e+01,NA,NA,NA
-26, 3.111111e+01,NA,NA,NA
-26, 3.222222e+01,NA,NA,NA
-26, 3.333333e+01,NA,NA,NA
-26, 3.444444e+01,NA,NA,NA
-26, 3.555556e+01,NA,NA,NA
-26, 3.666667e+01,NA,NA,NA
-26, 3.777778e+01,NA,NA,NA
-26, 3.888889e+01,NA,NA,NA
-26, 4.000000e+01,NA,NA,NA
-26, 4.111111e+01,NA,NA,NA
-26, 4.222222e+01,NA,NA,NA
-26, 4.333333e+01,NA,NA,NA
-26, 4.444444e+01,NA,NA,NA
-26, 4.555556e+01,NA,NA,NA
-26, 4.666667e+01,NA,NA,NA
-26, 4.777778e+01,NA,NA,NA
-26, 4.888889e+01,NA,NA,NA
-26, 5.000000e+01,NA,NA,NA
-26, 5.111111e+01,NA,NA,NA
-26, 5.222222e+01,NA,NA,NA
-26, 5.333333e+01,NA,NA,NA
-26, 5.444444e+01,NA,NA,NA
-26, 5.555556e+01,NA,NA,NA
-26, 5.666667e+01,NA,NA,NA
-26, 5.777778e+01,NA,NA,NA
-26, 5.888889e+01,NA,NA,NA
-26, 6.000000e+01,NA,NA,NA
-26, 6.111111e+01,NA,NA,NA
-26, 6.222222e+01,NA,NA,NA
-26, 6.333333e+01,NA,NA,NA
-26, 6.444444e+01,NA,NA,NA
-26, 6.555556e+01,NA,NA,NA
-26, 6.666667e+01,NA,NA,NA
-26, 6.777778e+01,NA,NA,NA
-26, 6.888889e+01,NA,NA,NA
-26, 7.000000e+01,NA,NA,NA
-26, 7.111111e+01,NA,NA,NA
-26, 7.222222e+01,NA,NA,NA
-26, 7.333333e+01,NA,NA,NA
-26, 7.444444e+01,NA,NA,NA
-26, 7.555556e+01,NA,NA,NA
-26, 7.666667e+01,NA,NA,NA
-26, 7.777778e+01,NA,NA,NA
